Person ID,First name,Last name,Party,Constituency,URI
24907,Bob,Stewart,Conservative,Beckenham,http://www.theyworkforyou.com/mp/bob_stewart/beckenham
24947,Iain,Stewart,Conservative,Milton Keynes South,http://www.theyworkforyou.com/mp/iain_stewart/milton_keynes_south
24964,Rory,Stewart,Conservative,Penrith and The Border,http://www.theyworkforyou.com/mp/rory_stewart/penrith_and_the_border
10574,Jack,Straw,Labour,Blackburn,http://www.theyworkforyou.com/mp/jack_straw/blackburn
10575,Gary,Streeter,Conservative,South West Devon,http://www.theyworkforyou.com/mp/gary_streeter/south_west_devon
24914,Mel,Stride,Conservative,Central Devon,http://www.theyworkforyou.com/mp/mel_stride/central_devon
10576,Graham,Stringer,Labour,Blackley and Broughton,http://www.theyworkforyou.com/mp/graham_stringer/blackley_and_broughton
10577,Gisela,Stuart,Labour,"Birmingham, Edgbaston",http://www.theyworkforyou.com/mp/gisela_stuart/birmingham%2C_edgbaston
11406,Graham,Stuart,Conservative,Beverley and Holderness,http://www.theyworkforyou.com/mp/graham_stuart/beverley_and_holderness
10578,Andrew,Stunell,Liberal Democrat,Hazel Grove,http://www.theyworkforyou.com/mp/andrew_stunell/hazel_grove
24853,Julian,Sturdy,Conservative,York Outer,http://www.theyworkforyou.com/mp/julian_sturdy/york_outer
10579,Gerry,Sutcliffe,Labour,Bradford South,http://www.theyworkforyou.com/mp/gerry_sutcliffe/bradford_south
24819,Ian,Swales,Liberal Democrat,Redcar,http://www.theyworkforyou.com/mp/ian_swales/redcar
10580,Desmond,Swayne,Conservative,New Forest West,http://www.theyworkforyou.com/mp/desmond_swayne/new_forest_west
11971,Jo,Swinson,Liberal Democrat,East Dunbartonshire,http://www.theyworkforyou.com/mp/jo_swinson/east_dunbartonshire
11265,Hugo,Swire,Conservative,East Devon,http://www.theyworkforyou.com/mp/hugo_swire/east_devon
10582,Robert,Syms,Conservative,Poole,http://www.theyworkforyou.com/mp/robert_syms/poole
11267,Mark,Tami,Labour,Alyn and Deeside,http://www.theyworkforyou.com/mp/mark_tami/alyn_and_deeside
10583,Peter,Tapsell,Conservative,Louth and Horncastle,http://www.theyworkforyou.com/mp/peter_tapsell/louth_and_horncastle
